name,n_chars,n_words,n_sents,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,smog_index,dale_chall,coleman_liau,ari,avg_sentence_length,ttr,yule_k,entropy,avg_zipf,rare_frac,legalese_frac,year,timestamp,date,source_file
google_19990609,5072,818,38,47.22637627075025,12.019933084545105,14.625196242439841,13.736007592894854,11.749865409857161,11.83911980440098,13.480440503432497,21.526315789473685,0.4155363748458693,89.94695319139879,7.576301671894326,5.478310727496918,0.04438964241676942,0.011097410604192354,1999,19990609,1999-06-09,06_09_1999.txt
google_20051014,13258,2055,80,28.317515967153298,15.691093369829684,19.20930656934307,17.07861575772435,11.887398053527981,13.743941605839414,16.756632579403274,25.6875,0.28948655256723715,92.29021825551018,7.90844950797025,5.627403422982885,0.021026894865525673,0.010268948655256724,2005,20051014,2005-10-14,10_14_2005.txt
google_20101003,12068,1852,73,28.694956211722285,15.559538152016334,18.700860972218113,16.651231645808487,11.996934838308826,14.06889848812095,16.76555351641869,25.36986301369863,0.31094257854821233,88.38764732741814,7.92997756687839,5.572502708559047,0.02437703141928494,0.010834236186348862,2010,20101003,2010-10-03,10_03_2010.txt
google_20150630,25315,3990,159,35.699583628883545,14.5140856859129,17.546507778881164,15.790213166059829,11.30402886934317,12.995839598997492,15.841472452643885,25.09433962264151,0.2132334581772784,94.6644409843501,8.074231421089062,5.682441947565543,0.01373283395755306,0.006741573033707865,2015,20150630,2015-06-30,06_30_2015.txt
google_20200701,53608,8521,348,38.47681399874821,13.975497948273837,16.95303705382375,15.34785186921231,11.464590219835511,12.809294683722573,15.374597914351419,24.485632183908045,0.15186645026663576,97.05908014361276,8.249050845499976,5.685333874333411,0.012520287502898214,0.005448643635520519,2020,20200701,2020-07-01,07_01_2020.txt
google_20210701,54277,8624,351,38.359175612747066,14.012815914244488,17.003244903244905,15.379298972743047,11.479491885627601,12.832583487940635,15.42890715775252,24.56980056980057,0.15053270706839272,97.41501463322457,8.247087015385357,5.684313208844083,0.012716233245503495,0.0054989116737312405,2021,20210701,2021-07-01,07_01_2021.txt
google_20221004,57664,9174,364,38.00355574281835,14.21979585163039,17.201440765469545,15.485773399422676,11.514803485962478,12.819620667102683,15.685034407168047,25.203296703296704,0.1442266264541146,99.01748473791085,8.230135739241877,5.6874590693666525,0.011956053425247738,0.005170185264971995,2022,20221004,2022-10-04,10_04_2022.txt
google_20230701,59909,9531,379,37.98443620580974,14.208665094792746,17.223094089028745,15.499081345824344,11.525535821063277,12.798845871367117,15.64767922844458,25.147757255936675,0.1434345528033993,97.96934908822308,8.259075516535166,5.682505959166753,0.011918333506062804,0.004974608767747953,2023,20230701,2023-07-01,07_01_2023.txt
google_20240916,63564,10144,401,38.47134967195578,14.177766417945673,17.244097563661825,15.498586590143532,11.508262774550218,12.696569400630914,15.634865091867077,25.296758104738153,0.1397116134060795,98.13450244792354,8.263179607450267,5.685020459859704,0.012081060015588464,0.004871395167575994,2024,20240916,2024-09-16,09_16_2024.txt
google_20250701,64446,10254,401,37.59499003369285,14.368148280556653,17.472431268230828,15.655499669430327,11.58331455703437,12.816227813536184,15.852249331928526,25.571072319201996,0.13981293992864718,97.85711086765096,8.273859039593315,5.675013017066821,0.012534953234982162,0.004821135859608524,2025,20250701,2025-07-01,07_01_2025.txt
